bucket,n_classes,n_cells,m0_mean_recall,m2_mean_recall,m0_mean_f1,m2_mean_f1
<25,15,201,0.5975792807472711,0.6239112723424205,0.6238290765535347,0.6528374126806378
25-49,21,751,0.808000923196819,0.7955763509711744,0.8301331195791415,0.8135592754837065
50-99,11,721,0.9158458146331281,0.916928686984657,0.89891250875384,0.8994683897184195
>=100,13,3327,0.8489467530780233,0.8499381938119982,0.8414253977680298,0.8430655121291536
