run_id,timestamp,git_commit,model,feature_set,cv_protocol,random_seed,fold_0_accuracy,fold_1_accuracy,fold_2_accuracy,oof_accuracy,macro_f1,runtime_seconds,status,notes,manifest_sha256,folds_sha256,oof_path,proba_path,metrics_path,conclusion
YW-000,2026-08-19T10:03:48Z,6ca7c4b28c5737abf59690d881d2c7a4d9022324,majority_class_per_training_fold,none,"StratifiedKFold(n_splits=3, shuffle=True, random_state=20260819)",20260819,0.1403719256,0.1403719256,0.1410564226,0.1406000000,0.0041089485,0.003,completed,fold_0_majority=oligodendrocyte_progenitor_2; fold_1_majority=oligodendrocyte_progenitor_2; fold_2_majority=oligodendrocyte_progenitor_2,,,,,,
YW-001,2026-08-19T10:03:48Z,6ca7c4b28c5737abf59690d881d2c7a4d9022324,LogisticRegression_l2_lbfgs,log1p_raw_gene_counts_200,"StratifiedKFold(n_splits=3, shuffle=True, random_state=20260819)",20260819,0.5428914217,0.5578884223,0.5492196879,0.5500000000,0.3894055010,2.672,completed,converged,,,,,,
YW-002,2026-08-19T10:31:00Z,ec8f87b68beada36075f030899a45b1c2ca4f422,LogisticRegression_l2_lbfgs,"log1p(raw gene counts, 200) + fold-safe one-hot Region/Excitatory_vs_Inhibitory/Segment","StratifiedKFold(n_splits=3, shuffle=True, random_state=20260819)",20260819,0.7540491902,0.7570485903,0.7593037215,0.7568000000,0.6799064217,1.630,completed,no warnings,0398d8762ae708b2d5bb2ada25327f3756394e62ee47f152a0190228373f0896,5db83f1275c73cbd0a6748f98a046cde128ccb6c28a05966886f101521d8f8d9,outputs/oof/YW-002_oof.csv,outputs/probabilities/YW-002_oof_probabilities.csv.gz,outputs/metrics/YW-002_metrics.json,Metadata one-hot + genes OOF accuracy=0.7568 vs YW-001 0.5500
YW-003,2026-08-19T10:31:03Z,ec8f87b68beada36075f030899a45b1c2ca4f422,gene_only_LogisticRegression + fold-safe candidate mask,"log1p(raw gene counts, 200); metadata used only for candidate masking, not as classifier features","StratifiedKFold(n_splits=3, shuffle=True, random_state=20260819)",20260819,0.7510497900,0.7510497900,0.7569027611,0.7530000000,0.7129958098,3.178,completed,no warnings,0398d8762ae708b2d5bb2ada25327f3756394e62ee47f152a0190228373f0896,5db83f1275c73cbd0a6748f98a046cde128ccb6c28a05966886f101521d8f8d9,outputs/oof/YW-003_oof.csv,outputs/probabilities/YW-003_oof_probabilities.csv.gz,outputs/metrics/YW-003_metrics.json,Fold-safe candidate masking OOF=0.7530; net additional correct vs YW-001=1015
YW-004,2026-08-19T10:31:06Z,ec8f87b68beada36075f030899a45b1c2ca4f422,per-signature specialists (gene-only L2 logistic regression) with YW-003 masked-global fallback,"log1p(raw gene counts, 200) inside each fold-learned signature group; no extra metadata features in specialists","StratifiedKFold(n_splits=3, shuffle=True, random_state=20260819)",20260819,0.7594481104,0.7564487103,0.7635054022,0.7598000000,0.7052920244,2.566,completed,no warnings,0398d8762ae708b2d5bb2ada25327f3756394e62ee47f152a0190228373f0896,5db83f1275c73cbd0a6748f98a046cde128ccb6c28a05966886f101521d8f8d9,outputs/oof/YW-004_oof.csv,outputs/probabilities/YW-004_oof_probabilities.csv.gz,outputs/metrics/YW-004_metrics.json,Per-signature specialists OOF=0.7598; missing-bucket accuracy=0.6815; fallbacks=0
YW-005,2026-08-19T16:56:44Z,299225a511778792b57225af3203916600a1c479,exploratory convex blend of saved YW-002/YW-003/YW-004 OOF probabilities (not nested),"saved OOF probabilities from YW-002, YW-003, YW-004; no new features; no nested refit","StratifiedKFold(n_splits=3, shuffle=True, random_state=20260819)",20260819,0.7594481104,0.7570485903,0.7611044418,0.7592000000,0.7071779314,0.418,exploratory,exploratory; not nested; excluded from formal selection,0398d8762ae708b2d5bb2ada25327f3756394e62ee47f152a0190228373f0896,5db83f1275c73cbd0a6748f98a046cde128ccb6c28a05966886f101521d8f8d9,outputs/oof/YW-005_oof.csv,outputs/probabilities/YW-005_oof_probabilities.csv.gz,outputs/metrics/YW-005_metrics.json,"Exploratory (not nested, excluded from formal selection). Cross-fitted OOF=0.7592; equal-weight OOF=0.7598; net vs YW-004=-3"
YW-006,2026-08-19T16:57:58Z,299225a511778792b57225af3203916600a1c479,hard-bucket specialist selected by inner stratified CV on outer-training bucket only,200 gene counts inside __MISSING__/__MISSING__/__MISSING__; candidate transforms documented per model,"StratifiedKFold(n_splits=3, shuffle=True, random_state=20260819)",20260819,0.6781725888,0.6862348178,0.6802030457,0.6815415822,0.5740748993,74.460,completed,valid negative ablation; selected log1p_lr on every outer fold,0398d8762ae708b2d5bb2ada25327f3756394e62ee47f152a0190228373f0896,5db83f1275c73cbd0a6748f98a046cde128ccb6c28a05966886f101521d8f8d9,outputs/oof/YW-006_hard_bucket_oof.csv,outputs/probabilities/YW-006_hard_bucket_probabilities.csv.gz,outputs/metrics/YW-006_metrics.json,"Valid negative ablation. Hard-bucket OOF=0.6815 vs YW-004 bucket 0.6815; selected={'0': 'log1p_lr', '1': 'log1p_lr', '2': 'log1p_lr'}"
YW-007,2026-08-19T16:57:59Z,299225a511778792b57225af3203916600a1c479,hybrid: YW-004 outside missing bucket; YW-006 specialist inside missing bucket,YW-004 OOF probabilities replaced only on __MISSING__/__MISSING__/__MISSING__ cells by YW-006,"StratifiedKFold(n_splits=3, shuffle=True, random_state=20260819)",20260819,0.7594481104,0.7564487103,0.7635054022,0.7598000000,0.7052920244,0.001,completed,exact duplicate of YW-004; replacement copied YW-006; n_changed=0; not selected,0398d8762ae708b2d5bb2ada25327f3756394e62ee47f152a0190228373f0896,5db83f1275c73cbd0a6748f98a046cde128ccb6c28a05966886f101521d8f8d9,outputs/oof/YW-007_oof.csv,outputs/probabilities/YW-007_oof_probabilities.csv.gz,outputs/metrics/YW-007_metrics.json,Not selected: exact more-complex duplicate of YW-004. Hybrid OOF=0.7598; delta vs YW-004=+0.0000; n_changed=0
