run_id,timestamp,git_commit,model,feature_set,cv_protocol,random_seed,fold_0_accuracy,fold_1_accuracy,fold_2_accuracy,fold_3_accuracy,fold_4_accuracy,oof_accuracy,oof_accuracy_ei,hard_bucket_accuracy,neuron_accuracy,glial_accuracy,macro_f1,runtime_seconds,status,notes,manifest_sha256,team_folds_sha256,oof_path,proba_path,metrics_path,compliance_status,warnings
BRIDGE-YW004-5F,2026-08-20T05:18:37Z,a3722c06f1844bce825b38a05c4be85838de491a,frozen YW-004 per-signature gene-only L2 logistic specialists evaluated on the team-compatible 5-fold protocol,"log1p(raw gene counts, 200) inside each fold-learned signature group; no extra metadata features in specialists","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,0.767,0.777,0.769,0.74,0.745,0.7596,,0.6754563894523327,0.8945102260495156,0.67982176957352,0.7244825703338026,5.5052465,completed,BRIDGE only; not a new model version,0398d8762ae708b2d5bb2ada25327f3756394e62ee47f152a0190228373f0896,fe2baf2b41f824125fe46705f15d4499f0c3ce76cc149802320b6e6c1f5edb9d,outputs/oof/BRIDGE-YW004-5F_oof.csv,outputs/probabilities/BRIDGE-YW004-5F_oof_probabilities.csv.gz,outputs/metrics/BRIDGE-YW004-5F_metrics.json,EXTERNAL_REFERENCE_PERMISSION_REQUIRED,none
V2-A-SPATIAL-LGBM,2026-08-20T05:32:35Z,a3722c06f1844bce825b38a05c4be85838de491a,competition-only spatial LightGBM (single seed),"genes_lognorm: library-size log1p (median total) of 200 genes; pca50: PCA50 of standardized lognorm genes, random_state=0, train+test; spatial_knn: within-Section_ID spatial kNN, K=50 cached; expression_knn: PCA50 Euclidean kNN across all cells, K=50; neighbor_mean_pca: mean PCA50 of 10 spatial neighbors; metadata: log total, log volume, density, x/y, within-section rel x/y, spatial/expression distances, Region/EI/Segment/AP/gender/mouse/dataset codes; neighbor_label_hist: fold-safe 1/(1+d) histograms of 15 spatial and 25 expression labeled neighbors","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",0,0.761,0.784,0.768,0.759,0.767,0.7678,0.769,0.6876267748478702,0.8977395048439182,0.6928707829408021,0.7107282362858418,341.87278683299996,completed,competition-only; single seed; E/I applied after fold prediction,0398d8762ae708b2d5bb2ada25327f3756394e62ee47f152a0190228373f0896,fe2baf2b41f824125fe46705f15d4499f0c3ce76cc149802320b6e6c1f5edb9d,outputs/oof/V2-A-SPATIAL-LGBM_oof.csv,outputs/probabilities/V2-A-SPATIAL-LGBM_oof_probabilities.csv.gz,outputs/metrics/V2-A-SPATIAL-LGBM_metrics.json,EXTERNAL_REFERENCE_PERMISSION_REQUIRED,none
V2-B-REFONLY,2026-08-20T10:18:38Z,7ef06c32e40c70361f951c3ff8b8625be86d785e,"reference-only LightGBM (same-team ext_refonly family, honest 5-fold)","PCA50, within-section spatial kNN, and PCA50 expression kNN are fit on all 146621 deposit cells. Scale = median total of the 10,000 competition cells. No hidden test labels are used.","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",0,0.822,0.831,0.812,0.821,0.82,0.8212,0.8212,0.7569303583502367,0.9198062432723358,0.7628898790579249,0.793613323779027,7657.718588042,completed,reference-only; 700 fixed rounds; honest 5-fold; best=segment,0398d8762ae708b2d5bb2ada25327f3756394e62ee47f152a0190228373f0896,fe2baf2b41f824125fe46705f15d4499f0c3ce76cc149802320b6e6c1f5edb9d,outputs/oof/V2-B-REFONLY_oof.csv,outputs/probabilities/V2-B-REFONLY_oof_probabilities.csv.gz,outputs/metrics/V2-B-REFONLY_metrics.json,EXTERNAL_REFERENCE_PERMITTED,none
