split,n,a_accuracy,b_accuracy,disagreement_count,disagreement_rate,both_correct,a_only_correct,b_only_correct,both_wrong,pair_oracle_correct,pair_oracle_accuracy,incremental_oracle_headroom_over_stronger,expert_a,expert_b
canonical_folds_0_2,3000,0.8303333333333334,0.8216666666666667,132,0.044,2424,67,41,468,2532,0.844,0.013666666666666605,lzh_prior_h,wyh_model_v2
overall,5000,0.8266,0.8212,236,0.0472,4024,109,82,785,4215,0.843,0.01639999999999997,lzh_prior_h,wyh_model_v2
canonical_folds_3_4,2000,0.821,0.8205,104,0.052,1600,42,41,317,1683,0.8415,0.020500000000000074,lzh_prior_h,wyh_model_v2
