model,correct,accuracy,macro_f1,log_loss,fold_0,fold_1,fold_2,fold_3,fold_4,folds_0_2,folds_3_4,hard_bucket,non_hard_bucket,neuron,glial
M0,4106,0.8212,0.793613323779027,0.6416423806253077,0.822,0.831,0.812,0.821,0.82,0.8216666666666667,0.8205,0.7569303583502367,0.9142997061704211,0.9198062432723358,0.7628898790579249
M1,4086,0.8172,0.7906259351905699,0.6312863242875231,0.818,0.823,0.812,0.82,0.813,0.8176666666666667,0.8165,0.7498309668695065,0.9147894221351616,0.9214208826695371,0.7555697008274984
M2,4109,0.8218,0.7955218319991503,0.6221664761889664,0.827,0.829,0.821,0.816,0.816,0.8256666666666667,0.816,0.7569303583502367,0.9157688540646425,0.9214208826695371,0.7628898790579249
