variant,accuracy,correct,macro_f1,log_loss,folds_0_2,folds_3_4,hard_bucket_accuracy,neuron_accuracy,glial_accuracy,new_unique_recoveries,three_expert_oracle_correct,three_expert_oracle_accuracy,three_expert_oracle_accuracy_folds_3_4,all_three_wrong
S0,0.6302,3151,0.5195910884526909,1.1978998346152496,0.6396666666666667,0.616,0.704868154158215,0.49730893433799783,0.7087842138765118,96,4311,0.8622,0.855,689
S1,0.6294,3147,0.5088085683359299,1.264132794889752,0.6356666666666667,0.62,0.7052062204192021,0.4967707212055974,0.7078294080203692,88,4303,0.8606,0.8525,697
S2,0.6292,3146,0.5088805648946833,1.264203388418089,0.6363333333333333,0.6185,0.7055442866801893,0.49569429494079653,0.7081476766390834,88,4303,0.8606,0.8525,697
